"baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj"
"ENSMUSG00000000031" 287.74406644753 9.83494155998743 1.41950538311426 2.53493091132239e-11 7.09700435837632e-10
"ENSMUSG00000000037" 40.3688975378078 4.98412048413611 1.57784077345671 9.261497986149e-05 0.000833959009500867
"ENSMUSG00000000120" 28.7428806282248 -2.51566453378619 1.48502828588582 0.0059777847774603 0.0315169618153702
"ENSMUSG00000000157" 378.603705990431 -12.617227230963 3.27329436760832 9.25026087018064e-15 4.07149541883026e-13
"ENSMUSG00000000204" 1467.68606354202 -12.1418190199785 1.39475835483316 1.34357583623914e-16 7.38299094609171e-15
"ENSMUSG00000000248" 95.5305532638888 -7.09120503140449 1.26458412976176 6.30937878347873e-09 1.27732435005575e-07
"ENSMUSG00000000318" 102.322349431652 -7.99044332614309 1.60783333882733 4.55087623064213e-07 6.72708471386648e-06
"ENSMUSG00000000489" 28.0601477129519 -5.61508823614229 1.94573515830501 0.000492601448577989 0.00371859511192229
"ENSMUSG00000000530" 59.6680961759647 -7.09600435033596 1.6577964003783 7.37766046194895e-06 8.55441180954946e-05
"ENSMUSG00000000617" 167.51521508097 -11.2331233374431 3.18347584844878 2.97556734814622e-11 8.226513852828e-10
"ENSMUSG00000000627" 85.5295038727424 -4.58637870991483 1.29838818361648 2.11917955329916e-05 0.000223195017952829
"ENSMUSG00000000791" 340.416382904699 -2.24877404351295 1.0319263548915 0.00297430966439137 0.0175776336679161
"ENSMUSG00000001027" 116.638627280019 -8.24033296730642 1.53345559244236 8.96438307237751e-08 1.49920410286056e-06
"ENSMUSG00000001036" 56.0992438738656 -4.00294425236446 1.15666386967398 3.3619661015775e-05 0.000339923589721784
"ENSMUSG00000001444" 49.7861872254578 -4.89842895983485 1.42171236481847 3.53040758598609e-05 0.000355330101401808
"ENSMUSG00000001583" 20.938387722624 2.85670976917 2.75093414102795 0.00827047313395677 0.0412102933349003
"ENSMUSG00000002012" 49.6422156890089 4.77138822231479 1.29306593927919 1.41315015428217e-05 0.000155113392244843
"ENSMUSG00000002032" 16.6722305841449 4.24406796888222 2.58126727098449 0.00465276142735797 0.0255670685390286
